Review_text,extracted_aspects,inference_time
Had an amazing dinner with family. Today our special day . It was great dayThe staff were amazingly friendly. Made our special night very special. Thank you.,"staff, dinner",0.3107137680053711
Tonight dinner was wonderful dinner. I went my full family to enjoy our dinner. Food taste 💯/ 💯. All over excellent. Service was very good.,"dinner, food, Service",0.4935572147369385
Wide spread of buffet dinner. Really enjoyed it with our whole family. Delicious. My favourite place in Dhaka city. Thanks to all of you.,buffet dinner,0.30924463272094727
Food at Seasonal taste was really delicious. Particularly the dessert section. Really enjoyed it. Service was excillent,"Food, dessert section, Service",0.6311824321746826
It was a great experience considering both the food and ambience. Top notch service. Hope to come again... Thank you 😍😍😍,"food, ambience, service",0.4868052005767822
"Very good service, friendly & helpful staffs. Good was great 👍🏼 Family loved the experience. Would love to visit again Insha Allah","service, staffs, was",0.4935159683227539
The food is really fresh and good.....the ambience is really nice...the staffs are also very friendly..definitely a 5 start,"food, ambience, staffs",0.5467326641082764
Service has been top notch over the years. The food is exceptional. The rooms are clean. Very excellent service. Thanks,"Service, food, rooms, service",0.5570931434631348
"Very gentle environment, good food, relaxing Interior space. Everyone service was excellent. Service also. Staff are very polite","Environment, food, Service, Staff",0.5462050437927246
The food was pretty Delightful. Loved the environment and service. Well organinized. Thanks to all & seasonal tastes.,"food, environment, service",0.4324636459350586
A great place for a family dinner with a wide variety of items and an amazing atmosphere . Food was amazing. Service was excellent. Thanks to all,"atmosphere, Food, Service, dinner",0.6625494956970215
"Awesome place and delicious food. Cozy for kids too !! Every staff are very friendly, excellent service. Specially thanks to all staff","staff, service, food, place",0.5761537551879883
Every food was amazing. Every staff are very friendly and polite. Very good environment. Specially thanks to Ms Nahar. She is very friendly,"food, staff, environment",0.42888832092285156
"Food was good , table location was strategic and alot of effort in making our dinner meeting with partners fruitful. Manager was great and Ms Nahar was helpful and attentive to all our request on the table.","Food, Manager, table location, Ms Nahar",0.7930953502655029
Excellent food and atmosphere. We will be there again to crave this foods. Highly recommended for food lovers . Thank you to all off you.,"food, atmosphere, foods",0.42076539993286133
"Westin is the best hotel at dhaka city. We all are just loved this place. There food, staff behaviour all excellent. Thank you to all of you.","food, staff behaviour",0.3630249500274658
Today we did our business meeting at seasonal taste is was a wonderful brunch. There food was yummy and delicious. All people behavior is excellent. I m so happy .,"brunch, food",0.36889004707336426
The food is vary taste and well cooked.we like it and hope we will come in again so soon. Everyone service was excellent. 🥰,"food, service",0.3249478340148926
"One of the best services I got from any restaurant, food quality is super great as well.Would recommend anyone to come and visit","services, food quality",0.3620901107788086
Both the food and service quality was very good and the hygiene was perfectly maintained....and the interior was well decorated..,"food, service quality, hygiene, interior",0.717700719833374
Excellent service. Every food is very delicious. Environment also amazing. Thanks to ms Nahar. She is very helpful. Rafiq is very proactive,"service, food, environment",0.428539514541626
First of All Food quality very good .I think next also maintain also this quality .If some inrease Food item Is also good for us .Best wishes,Food quality,0.3101201057434082
"Great service and food. Every food is very delicious, environment is very wonderful. All staff are very friendly, specially thanks to Ms Nahar. And rofiqe is very friendly","service, food, staff",0.4342079162597656
exelent bruch! service was excellent too. Nahar our special hostness was very courtious n very attendtive..good luck.,"bruch, service, hostness",0.5393679141998291
Celebrating International Mother Language Day at the Westin Dhaka with their amazing buffer lunch. Highly recommended for anyone visiting this part of the town.,buffer lunch,0.25153446197509766
"The environment food quality is excellent. Every Staff are very friendly, polite. Every food quality is best food quality in buffet","environment, food quality, Staff, food",0.6026806831359863
I liked the ambience and the attitude of the stuff. Nahar has specially assisted us and helped us. She has a good personality and is charming. We are delighted and will come again.,"ambience, stuff, personality",0.4912075996398926
"Alhamdulillah, great ambience with extraordinary taste and standard of food except some items of fish. Simple menus came up with unexplored taste. Obviously the staff were so cordial.","ambience, taste, staff, menus, fish",0.7747399806976318
Everything was very good and fine.Specially service was awesome and so cordial beyond the expectations.thanks ms ishrat.,service,0.1882646083831787
"The food is really fresh and good..also great service..good behavior. There food also very yummy. Specially tempura, Desert very delicious","food, service, tempura, Desert",0.6626052856445312
Very Excellent service and food. Again we will visit for the excellent service. Food was amazing just like breath taking.,"service, food",0.31407618522644043
Such an Excellent environment for family and testy food of course. Nice cooperation and friendly behavior have all staff. Thanks,"environment, staff, food",0.4232625961303711
I have been coming to Westin for a very long time. Love their service and food quality is out of the world.specifically thanks to Ms Nahar & Rofiq. Best buffet in the city for sure!♥️❤️,"service, food quality, buffet",0.5507194995880127
One of the best buffets i have had in Dhaka.. The ambience was pretty good too and so was the service Definitely recommended.,"buffets, ambience, service",0.5571320056915283
"The hospitality was delightful. Loved the food especially the kebab. The appetiser was good, hopping to be here soon again!","hospitality, food, appetiser",0.6214940547943115
"Westin Dhaka's buffet offers diverse, high-quality dishes in a luxurious setting, with standout foods and desserts.","dishes, setting, foods, desserts",0.6638729572296143
"Exilent hospitale great food test . All food are delicious and all staff are really nice and also there service. Dessert, shushi, shashimi was excellent.and also thanks ms. Falguni for her hospitality","hospitale, food, staff, dessert, shushi, shashimi",1.3695497512817383
Ms. Falguni was perfect. Thank you for your service. The time was very early like 6.00 am but Ms. Falguni was always posstive and had smiliy face.,service,0.18741440773010254
Really amazing taste with great and honourable hospitality . Their service was excellent 👌. This is my first time there. Wonderful restaurant 😍🥰,"service, taste, hospitality",0.4806537628173828
