raw_text,aspectTerm,predicted_sentiment,inference_time
Had an amazing dinner with family. Today our special day . It was great dayThe staff were amazingly friendly. Made our special night very special. Thank you.,"staff, dinner","positive, positive",0.5031299591064453
Tonight dinner was wonderful dinner. I went my full family to enjoy our dinner. Food taste 💯/ 💯. All over excellent. Service was very good.,"dinner, food, Service","positive, positive, positive",0.7571597099304199
Wide spread of buffet dinner. Really enjoyed it with our whole family. Delicious. My favourite place in Dhaka city. Thanks to all of you.,buffet dinner,positive,0.250654935836792
Food at Seasonal taste was really delicious. Particularly the dessert section. Really enjoyed it. Service was excillent,"Food, dessert section, Service","positive, positive, positive",0.74715256690979
It was a great experience considering both the food and ambience. Top notch service. Hope to come again... Thank you 😍😍😍,"food, ambience, service","positive, positive, positive",0.7483677864074707
"Very good service, friendly & helpful staffs. Good was great 👍🏼 Family loved the experience. Would love to visit again Insha Allah","service, staffs, was","positive, positive, positive",0.7415728569030762
The food is really fresh and good.....the ambience is really nice...the staffs are also very friendly..definitely a 5 start,"food, ambience, staffs","positive, positive, positive",0.7355027198791504
Service has been top notch over the years. The food is exceptional. The rooms are clean. Very excellent service. Thanks,"Service, food, rooms, service","positive, positive, positive, positive",1.0117053985595703
"Very gentle environment, good food, relaxing Interior space. Everyone service was excellent. Service also. Staff are very polite","Environment, food, Service, Staff","positive, positive, positive, positive",0.990020751953125
The food was pretty Delightful. Loved the environment and service. Well organinized. Thanks to all & seasonal tastes.,"food, environment, service","positive, positive, positive",0.7575585842132568
A great place for a family dinner with a wide variety of items and an amazing atmosphere . Food was amazing. Service was excellent. Thanks to all,"atmosphere, Food, Service, dinner","positive, positive, positive, positive",1.0083997249603271
"Awesome place and delicious food. Cozy for kids too !! Every staff are very friendly, excellent service. Specially thanks to all staff","staff, service, food, place","positive, positive, positive, positive",1.0003466606140137
Every food was amazing. Every staff are very friendly and polite. Very good environment. Specially thanks to Ms Nahar. She is very friendly,"food, staff, environment","positive, positive, positive",0.7513182163238525
"Food was good , table location was strategic and alot of effort in making our dinner meeting with partners fruitful. Manager was great and Ms Nahar was helpful and attentive to all our request on the table.","Food, Manager, table location, Ms Nahar","positive, positive, positive, positive",0.9863147735595703
Excellent food and atmosphere. We will be there again to crave this foods. Highly recommended for food lovers . Thank you to all off you.,"food, atmosphere, foods","positive, positive, positive",0.7544529438018799
"Westin is the best hotel at dhaka city. We all are just loved this place. There food, staff behaviour all excellent. Thank you to all of you.","food, staff behaviour","positive, positive",0.4967777729034424
Today we did our business meeting at seasonal taste is was a wonderful brunch. There food was yummy and delicious. All people behavior is excellent. I m so happy .,"brunch, food","positive, positive",0.4914436340332031
The food is vary taste and well cooked.we like it and hope we will come in again so soon. Everyone service was excellent. 🥰,"food, service","positive, positive",0.4896254539489746
"One of the best services I got from any restaurant, food quality is super great as well.Would recommend anyone to come and visit","services, food quality","positive, positive",0.5082242488861084
Both the food and service quality was very good and the hygiene was perfectly maintained....and the interior was well decorated..,"food, service quality, hygiene, interior","positive, positive, positive, positive",0.9975311756134033
Excellent service. Every food is very delicious. Environment also amazing. Thanks to ms Nahar. She is very helpful. Rafiq is very proactive,"service, food, environment","positive, positive, positive",0.7392339706420898
First of All Food quality very good .I think next also maintain also this quality .If some inrease Food item Is also good for us .Best wishes,Food quality,positive,0.2755270004272461
"Great service and food. Every food is very delicious, environment is very wonderful. All staff are very friendly, specially thanks to Ms Nahar. And rofiqe is very friendly","service, food, staff","positive, positive, positive",0.7495207786560059
exelent bruch! service was excellent too. Nahar our special hostness was very courtious n very attendtive..good luck.,"bruch, service, hostness","positive, positive, positive",0.7391455173492432
Celebrating International Mother Language Day at the Westin Dhaka with their amazing buffer lunch. Highly recommended for anyone visiting this part of the town.,buffer lunch,positive,0.25141000747680664
"The environment food quality is excellent. Every Staff are very friendly, polite. Every food quality is best food quality in buffet","environment, food quality, Staff, food","positive, positive, positive, positive",0.994140625
I liked the ambience and the attitude of the stuff. Nahar has specially assisted us and helped us. She has a good personality and is charming. We are delighted and will come again.,"ambience, stuff, personality","positive, positive, positive",0.7585515975952148
"Alhamdulillah, great ambience with extraordinary taste and standard of food except some items of fish. Simple menus came up with unexplored taste. Obviously the staff were so cordial.","ambience, taste, staff, menus, fish","positive, positive, positive, positive, negative",1.2612273693084717
Everything was very good and fine.Specially service was awesome and so cordial beyond the expectations.thanks ms ishrat.,service,positive,0.2503640651702881
"The food is really fresh and good..also great service..good behavior. There food also very yummy. Specially tempura, Desert very delicious","food, service, tempura, Desert","positive, positive, positive, positive",1.0183498859405518
Very Excellent service and food. Again we will visit for the excellent service. Food was amazing just like breath taking.,"service, food","positive, positive",0.4950711727142334
Such an Excellent environment for family and testy food of course. Nice cooperation and friendly behavior have all staff. Thanks,"environment, staff, food","positive, positive, positive",0.7365872859954834
I have been coming to Westin for a very long time. Love their service and food quality is out of the world.specifically thanks to Ms Nahar & Rofiq. Best buffet in the city for sure!♥️❤️,"service, food quality, buffet","positive, positive, positive",0.7398843765258789
One of the best buffets i have had in Dhaka.. The ambience was pretty good too and so was the service Definitely recommended.,"buffets, ambience, service","positive, positive, positive",0.73575758934021
"The hospitality was delightful. Loved the food especially the kebab. The appetiser was good, hopping to be here soon again!","hospitality, food, appetiser","positive, positive, positive",0.7339928150177002
"Westin Dhaka's buffet offers diverse, high-quality dishes in a luxurious setting, with standout foods and desserts.","dishes, setting, foods, desserts","positive, positive, positive, positive",0.98427414894104
"Exilent hospitale great food test . All food are delicious and all staff are really nice and also there service. Dessert, shushi, shashimi was excellent.and also thanks ms. Falguni for her hospitality","hospitale, food, staff, dessert, shushi, shashimi","positive, positive, positive, positive, positive, positive",1.5215075016021729
Ms. Falguni was perfect. Thank you for your service. The time was very early like 6.00 am but Ms. Falguni was always posstive and had smiliy face.,service,positive,0.2485663890838623
Really amazing taste with great and honourable hospitality . Their service was excellent 👌. This is my first time there. Wonderful restaurant 😍🥰,"service, taste, hospitality","positive, positive, positive",0.7592172622680664
Food is awesome and very delicious with a very decent hospitality really amazed. I went today for my special day😍 really enjoyed this day,"Food, hospitality","positive, positive",0.4947700500488281
Food was sumptuous. Service is excellent. It was a family gathering and we really enjoyed the food as well as the cozy environment.,"Food, Service, environment","positive, positive, positive",0.7339224815368652
We are very happy to have a nice dinner here. Service was excellent. Food quality was one of the best buffet in Bangladesh.,"Service, dinner, food quality, buffet","positive, positive, positive, positive",0.9900960922241211
"Its a Great experience Really it will be memorable Birthday, All stuff was cordial FEROZ, SAGOR,FALGUNI, SHANTA APU ND Bhaias best, Thanks A lot , I will come again IA Best wishes,,",noaspectterm,neutral,0.24766850471496582
Today is my wife birthday . Its a special day for us . There all person are make my day very special they cut a cake for my wife . All food & service is excellent i m so happy .,"person, food, service, cake","positive, positive, positive, positive",1.016249418258667
I m regular person . They are just wow....there food is yummy than others pleace. I just loved there food ....service is excelent. Best hotel in dhaka.,"food, service","positive, positive",0.499316930770874
The food was really good and so was the service. Five stars! Loved the variation in cuisines. Would recommend to everyone.,"food, service, cuisines","positive, positive, positive",0.7476880550384521
"Very nice buffet dinner arranged, excellent service, specially thanks Ms. Nahar, staff are very friendly. Regards Rony","buffet dinner, service, staff","positive, positive, positive",0.7407627105712891
"In one word ""Splendid"". Food tastes in heavenly per se. Everything is excellent, service also great , specially in brunch.","Food, service, brunch","positive, positive, positive",0.7419290542602539
"The food was really good with there being a range of cuisines to choose from. The dessert section was filled with tarts, cakes and ice creams which were the best way to end the meal.","food, dessert section, tarts, cakes, ice creams, meal","positive, positive, positive, positive, positive, neutral",1.4900498390197754
Excellent food and service 👌 seasonal taste restaurant. We are happy. Staff behavior just good 👍 special thanks Ms Ishrat very nice person and very helpful 😊,"food, service, Staff behavior","positive, positive, positive",0.71982741355896
Food is too much good. Nihari was fantastic. Service was too much good.we are always enjoying Westin first class service. I think they are the number one five star hotels in Bangladesh. Best wishes for them. Sharan is very humble. He serve us very well,"Food, Service, Service, hotels","positive, positive, positive, positive",0.9740567207336426
"The food and the service is great! Thanks sharan, Clinton. We had a grate time with Arabic food kebab & dessert. Environment is good","food, service, Arabic food kebab & dessert, Environment","positive, positive, positive, positive",0.9726595878601074
"Seasonal taste is amazing today vs. usual Friday ( we were here today 09/02/24). The valentine decorations, very caring & courteous team of Hotel officials and staffs. And all the food was just fresh from the oven …loved it even more today with our guests...More","valentine decorations, food","positive, positive",0.48825955390930176
"Dining in Westin is always a great experience. Mouth watering food, awesome service n great ambience. Every staff is very friendly","food, service, ambience, staff","positive, positive, positive, positive",0.985919713973999
